gene_set	p-value	q-value	enrich_description
GGGCGGR_SP1_Q6	4.14581057711489e-35	4.565781188576629e-31	(17776, 158, 1579, 73, 'C11orf30;LRP1;GPD1;IREB2;TNKS;IKZF4;CAMKV;WNT3;PVRL2;BACH2;PITX2;CELF4;ALDH2;SETD8;CORO1A;NME7;TP53;ZNF513;APEH;PDLIM4;MTCH2;TRIM27;FAM114A1;PRICKLE4;PNPT1;TCF7L2;MAPT;ZNF512;PRDM8;RHOA;FDFT1;KIAA1199;PMEL;SMARCE1;ATP1B1;ADRB1;TET2;CELF1;ASPHD1;PSMA4;TOMM40;RABEP2;ADAMTS13;AMIGO3;FOXO3;FNBP4;APOE;ATXN2L;TMEM116;KLHDC8B;DLEU1;NCOA6;NFAT5;PHTF1;PPP1R3B;CADM2;HOXA13;RASIP1;TCF4;KBTBD4;ERBB3;ARHGAP27;SIX6;SMAD3;NDUFS3;TCTA;CRHR1;EIF2B4;PTCH1;RNF123;PKN2;WNT4;PLEKHM1;MAN2A2;SPATA2L;BCL7C;FGF5;MST1;MON1A;GMPPB;WNT2B')
TTGTTT_FOXO4_01	1.2450214233993134e-24	6.855710467948319e-21	(17776, 158, 1344, 57, 'PMEL;C11orf30;LPP;NT5C2;ERBB3;AKTIP;JMJD1C;RP1;STAT6;LRP5;IRF4;CEP120;TLR1;IREB2;CPS1;HMGA2;PTPN22;CORO1A;HHIP;IKZF3;IKZF4;IL18R1;SMAD3;TP53;EFEMP1;HOXA11;PDLIM4;NOS3;PPP6R3;SLC19A2;SLC22A2;TCF7L2;SIX1;USP49;GTF2B;NSF;MAPK3;PTCH1;RIOK3;PRDM8;RBL2;NCOA6;PKN2;SMARCA4;RBM5;MAGI3;PAM;TNRC6A;CADM2;SLC38A3;CDK6;TCF4;IP6K1;MON1A;PITX2;RREB1;BSN')
CAGGTG_E12_Q6	1.1214705128419513e-22	4.1169182526428034e-19	(17776, 158, 1528, 58, 'PMEL;KCTD13;DOC2A;C11orf30;ATP1B1;IRF1;ERBB3;AKTIP;LIMA1;ADRB1;SURF4;JMJD1C;CELF1;JAZF1;BCAM;CLCN6;HNF1B;LRP5;GPD1;PTPRJ;MPHOSPH9;CASZ1;MADD;CORO1A;HHIP;APOA5;ALDOA;SMAD3;LSP1;C1QTNF4;MAMSTR;IGF2BP2;NR1H3;CELSR2;EFEMP1;APEH;HOXA11;APOBR;CNNM2;TMEM116;WNT3;EIF2B4;RAB5B;MAPT;SEMA3F;NCOA6;TNNT3;PKN2;GPX1;PVRL2;RP1L1;MAGI3;CADM2;SLC38A3;FES;FGF5;RREB1;NPR3;MTHFR;MAP3K4;WNT2B;CELF4')
GGGAGGRR_MAZ_Q6	1.1530870159690276e-20	3.174736826716725e-17	(17776, 158, 1333, 52, 'LPP;ERBB3;LRP1;CELF1;JAZF1;STAT6;ASPHD1;BCAM;HNF1B;LDLR;FAM57B;ALDOA;HMGA2;CASZ1;PTPRJ;CORO1A;IKZF4;TP53;C1QTNF4;MAMSTR;NR1H3;CCR7;FOXO3;CNNM2;ATXN2L;CAMKV;TCTA;F5;TCF7L2;SIX1;RAB5B;CRHR1;WNT3;MAPT;MAPK3;SH2B3;CCND2;PRDM8;TNNT3;RHOA;SMARCA4;PVRL2;TNRC6A;BACH2;RASIP1;CADM2;HOXA13;FES;CDK6;FGF5;TCF4;FURIN;PITX2;NPR3;RERE;CELF4')
DANG_BOUND_BY_MYC	1.361370751750018e-19	2.9985552178045894e-16	(17776, 158, 663, 37, 'RPS26;ALDH2;BCL3;WDR36;ZNF259;CLN3;STAT6;CLCN6;IRF4;SLC9A3R2;MADD;CDKN2B;NCAPG;LSP1;SMAD3;TP53;SLC39A8;GAL;USP4;GAS8;PHB;DLEU1;CCND2;PRDM8;NFAT5;PKN2;SLC22A4;SLC22A3;AP4B1;MST1R;MLXIP;MAN2A2;CDK6;MST1;MKLN1;BLK;MTHFR')
CTTTGT_LEF1_Q2	3.5932052797992573e-19	6.595328291071537e-16	(17776, 158, 1272, 49, 'TRPC4AP;ERBB3;SMARCE1;LRP1;ATP1B1;TET2;JMJD1C;CELF1;DCLRE1B;CMIP;UHRF2;LRP5;IREB2;HMGA2;PTPRJ;IKZF4;SMAD3;C1QTNF4;TP53;FOXO3;SLC39A8;HOXA11;TRIM27;SIX1;WNT3;EIF2B4;MAPT;SEMA3F;USP49;IZUMO1;GNAT1;TNNT3;PKN2;SMARCA4;AP4B1;RBM6;PVRL2;RBM5;TNRC6A;BACH2;HOXA13;IGF2R;FES;CDK6;BCL7C;MON1A;PITX2;NPR3;RERE')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	2.821878832455574e-18	4.4396216545476055e-15	(17776, 158, 1171, 46, 'NICN1;LPP;SMARCE1;BCL3;LIMA1;SUOX;CYB5B;ITCH;STAT6;TOMM40;LDLR;AFG3L1P;TLR6;ALDOA;HMGA2;FADS2;MSRA;IGF2BP2;ANAPC4;NUP160;MTCH2;USP4;PHB;TCF7L2;MAPT;FNDC4;MAPK3;PTCH1;PIGU;PLCE1;FTO;D2HGDH;PTPN11;BCKDK;RREB1;PVRL2;RBM5;MAGI3;TNRC6A;FANCA;TCF4;IP6K1;FADS1;ATXN2;FDFT1;MAP3K4')
ZWANG_TRANSIENTLY_UP_BY_1ST_EGF_PULSE_ONLY	1.7286303843239482e-16	2.3796758028199554e-13	(17776, 158, 1080, 42, 'UBA7;C11orf30;NT5C2;ERBB3;LRP1;TET2;JMJD1C;ITCH;CMIP;STAT6;BCAM;SOX7;HEXIM1;TLR1;MPHOSPH9;CASZ1;MSRA;CDKN2B;NCAPG;IGF2BP2;CELSR2;NUPR1;APOE;CDKN2A;TRAFD1;MFHAS1;F5;LCE3A;ZNF512;MTMR9;APOC1;DEFB135;PLG;RBM5;PAM;MC1R;CDK6;BCL7C;TCF4;RREB1;DCAF16;WNT2B')
GCACTTT_MIR175P_MIR20A_MIR106A_MIR106B_MIR20B_MIR519D	1.2308558227006008e-15	1.5061572417113018e-12	(17776, 158, 470, 28, 'C11orf30;AKTIP;IRF1;LIMA1;DNAJC27;ITCH;JAZF1;RSBN1;L3MBTL3;LDLR;CEP120;HMGA2;IKZF4;CELSR2;PPP6R3;RAB5B;CCND2;RBL2;NFAT5;INO80;PLEKHM1;TNRC6A;LACE1;CADM2;IP6K1;TAOK2;FURIN;ZNF652')
BLALOCK_ALZHEIMERS_DISEASE_UP	7.047310867490234e-15	7.761203458366996e-12	(17776, 158, 1088, 40, 'NPC1;LPP;SEPT9;NQO1;STAT6;PML;BCAM;LDLR;TLR1;NCAPG;IKZF4;TP53;FOXO3;CHMP1A;EFEMP1;PPP6R3;PDLIM4;NUP160;USP4;TCF7L2;DLEU1;SEMA3F;PTCH1;RIOK3;PLCE1;APOC1;DAG1;RREB1;ADCY3;RBM6;ADH1B;BACH2;MC1R;MAN2A2;CDK10;FADS1;FDFT1;GTF3C2;TAOK2;BRAP')
GGGTGGRR_PAX4_03	7.883896295672517e-15	7.893213627658312e-12	(17776, 158, 778, 34, 'C11orf30;AKTIP;IRF1;LRP1;JMJD1C;STAT6;ASPHD1;CLCN6;HNF1B;LRP5;CORO1A;APOA5;TP53;ZNF513;EXD1;NOS3;APOBR;TRIM27;TCTA;WNT3;MAPT;ZNF512;MAPK3;PTCH1;CCND2;MYL2;NHLRC2;RHOA;BACH2;RASIP1;CADM2;FES;CDK6;TCF4;GMPPB;PITX2;MTHFR;CELF4')
RTAAACA_FREAC2_01	2.1200241333001448e-14	1.9456521483362078e-11	(17776, 158, 660, 31, 'LPP;LRP1;ADRB1;TET2;RP1;CMIP;STAT6;UHRF2;LRP5;IRF4;HHIP;ADAMTS13;IKZF4;FOXO3;EFEMP1;HOXA11;TCF7L2;RAB5B;FEN1;APOB;GTF2B;MAPK3;PTCH1;PKN2;GPX1;BACH2;SLC38A3;TCF4;PITX2;RREB1;WNT2B')
YOSHIMURA_MAPK8_TARGETS_UP	6.815690448223712e-14	5.773938377406749e-11	(17776, 158, 890, 35, 'KCTD13;ERBB3;ADRB1;PPA2;GCKR;SLC22A1;HNF1B;HMGA2;MADD;CHMP1A;EFEMP1;APOE;GAL;DPEP1;CHRNB4;KCNK3;MFHAS1;CAMKV;PHB;CRHR1;MAPT;APOB;MAPK3;SH2B3;PLG;PTPN11;GPX1;PPP1R3B;SH2B1;IGF2R;SERPINA1;FGF5;SLC9A4;IL1RL2;FURIN;MTHFR;BSN')
